"","TCGA.B0.5701.01A.11R.1541.07","TCGA.D3.A2JP.06A.11R.A18S.07","TCGA.D3.A3MV.06A.11R.A21D.07","TCGA.D3.A8GB.06A.11R.A37K.07","TCGA.DA.A3F2.06A.11R.A20F.07","TCGA.EB.A5KH.06A.11R.A27Q.07","TCGA.EB.A5SH.06A.11R.A311.07","TCGA.EB.A6QY.01A.12R.A32P.07","TCGA.EE.A2GS.06A.12R.A18S.07","TCGA.EE.A3JI.06A.11R.A21D.07","TCGA.ER.A19M.06A.61R.A239.07","TCGA.FR.A3YN.06A.11R.A239.07","TCGA.FR.A44A.06A.11R.A24X.07","TCGA.FR.A7U8.06A.21R.A352.07","TCGA.FW.A3R5.06A.11R.A239.07","TCGA.FW.A3TV.06A.11R.A239.07","TCGA.GF.A3OT.06A.23R.A239.07","TCGA.GN.A4U3.06A.11R.A32P.07","TCGA.GN.A4U4.06A.11R.A32P.07","TCGA.GN.A4U5.01A.11R.A32P.07","TCGA.GN.A4U9.06A.11R.A32P.07","TCGA.GN.A8LN.01A.11R.A37K.07","TCGA.HR.A2OH.06A.11R.A18U.07","TCGA.QB.AA9O.06A.11R.A39D.07","TCGA.W3.A825.06A.11R.A352.07","TCGA.W3.AA1Q.06A.11R.A38C.07","TCGA.W3.AA1R.06A.11R.A39D.07","TCGA.W3.AA1W.06A.11R.A38C.07","TCGA.WE.AAA0.06A.11R.A38C.07","TCGA.YG.AA3O.06A.11R.A38C.07"
"ENSG00000172037.14",14170,23694,28848,10092,14269,14421,60944,9862,20681,33234,12551,50228,16841,10315,17573,20881,22449,22031,37555,24200,3348,31583,17916,6745,21052,34081,13911,16952,49229,15737
"ENSG00000172534.14",2776,5194,11164,3083,5216,12840,12575,8072,15154,12538,7763,11838,8098,5993,6386,8852,7014,5054,6656,7080,9204,7661,11145,2303,9081,7398,9725,7158,8493,12997
"ENSG00000172638.13",5108,4661,6342,2483,5386,410,1519,356,9391,390,4395,760,1520,790,765,1256,9546,7375,1451,1072,4089,7317,1062,1306,6094,371,1208,521,602,658
"ENSG00000173269.14",3586,322,1077,1660,2299,640,1225,474,1080,493,705,400,450,258,1028,681,954,166,442,499,761,286,376,69,1415,264,213,467,528,512
"ENSG00000173369.17",10124,30551,6872,9370,50043,1255,4853,1794,11207,18897,23207,11429,98164,2698,5395,10665,16028,4502,2131,11007,4129,7042,88653,6758,22015,4613,5626,66181,3442,6972
"ENSG00000174348.14",14,824,176,1499,12554,800,297,245,236,199,991,382,1339,56,1227,897,453,21,164,418,21,121,286,93,623,547,93,57,181,1023
"ENSG00000175899.15",35050,95798,28444,31006,49796,36196,11611,14255,56511,16358,128384,95060,352144,38157,30091,17664,20471,362362,47367,56574,7098,118890,139075,59525,43063,141391,84501,13091,128415,110142
"ENSG00000180210.15",1301,1,0,203,1,0,0,0,0,1,0,3,0,0,2,0,0,1,1,0,4,1,0,0,4,0,11,1,1,0
"ENSG00000181143.15",11,5,0,13,5,4,3,4,2,1,7,10,4,3,0,3,3,1,2,64,0,2,25,24,28,0,2,20,0,3
"ENSG00000182492.16",7306,32858,9979,33270,93443,26544,22425,5385,56262,1633,21477,3825,17059,7488,15381,16599,50390,1928,5301,7766,54834,6905,8311,3822,53084,7139,4232,4338,6433,13804
"ENSG00000182718.18",28683,39008,56141,61355,22092,36747,20960,55936,17842,25950,27918,46990,40803,34272,50632,87333,96684,24954,26992,59432,5279,21819,37478,15388,38725,9049,42347,25864,55225,26637
"ENSG00000182871.16",11021,4799,18302,10825,17374,24459,6537,2591,7320,5083,3950,4475,6505,5903,16604,28158,46690,3603,2037,5954,2429,11720,4149,4578,51893,2894,3114,6688,11245,7566
"ENSG00000183098.11",2823,105,2210,436,460,11,4,1036,965,318,993,54,546,176,570,310,3079,29,47,85,1733,286,346,54,5763,799,637,75,48,558
"ENSG00000186340.16",9995,4900,5730,1659,4931,629,298,4436,6143,479,23915,1044,6271,738,2584,26583,16144,399,5381,966,89,12630,22925,1510,14928,643,201,479,483,3100
"ENSG00000187498.16",37347,8942,80244,17323,12272,17843,7815,6235,26357,5230,20352,4112,18201,7679,21812,27885,38877,5335,10119,7834,29534,6686,9950,3468,42186,3973,3474,5316,22141,12082
"ENSG00000187955.12",731,5275,1755,3777,5830,1019,1016,413,5572,585,3461,627,1320,127,2229,3263,1013,110,404,1674,152,413,317,333,1208,1020,165,267,1076,2288
"ENSG00000188153.14",286,39,580,791,25,25,17,467,1698,6,14,578,20,499,25,1426,31,7,24,294,1527,7,4,124,476,28,472,8,1409,556
"ENSG00000188157.15",17189,15902,22257,11500,4695,25433,18289,10622,38959,17116,20816,21851,15248,8446,10404,20868,48223,14437,18151,21462,10546,19298,17282,5551,19487,20103,9915,5721,15762,18543
"ENSG00000188783.6",140,8731,260,2622,506,20567,23575,245,1832,757,251,2744,1029,1881,291,3626,26,1564,2191,5605,12,2342,1367,90,850,522,1256,1989,448,869
"ENSG00000189171.14",765,3029,855,5199,178,410,146,969,2518,1115,728,3301,1547,985,1067,1363,964,1882,1363,2472,352,866,596,2497,533,937,2006,1512,5038,2063
"ENSG00000196136.18",6,21,999,76,0,0,0,14,161,0,236,11,10,26,3,349,1,15,5,168,0,273,3,73,30,1,12,69,2,2
"ENSG00000196154.12",2316,32732,11877,6016,8377,188,545,1195,8650,1882,3117,1874,15618,8441,1489,1080,2824,906,1152,42362,1600,2122,4437,2050,3542,560,8786,4240,120881,686
"ENSG00000196975.16",41889,8563,1994,4516,1291,1698,1653,3985,3907,11862,3490,6060,8031,3404,4460,9822,3353,4464,5502,4708,1232,3255,2459,2636,1715,4299,3555,3424,5660,6204
"ENSG00000197043.14",12846,14670,7212,8766,16791,32544,11597,5332,11671,10168,9134,16268,11593,9497,10862,8880,27798,10594,13775,8172,7135,5854,12439,1363,12693,2666,4048,17490,23547,2587
"ENSG00000197249.14",92961,2112,501,5819,9276,231,331,285,1787,517,3974,2227,13204,932,1168,2141,4296,121,624,6096,1126,960,10055,995,9121,604,1276,10321,924,853
"ENSG00000197561.7",1,1,1,8,8,0,0,0,0,0,1,1,0,0,2,4,0,0,2,0,1,1,0,1,2,0,0,0,2,5
"ENSG00000197614.11",12,34,71,3097,763,57,21,298,473,43,857,57,29,30,638,166,249,4,38,225,12,24,25,102,16,104,55,8,35,300
"ENSG00000197747.9",11778,27234,6519,17461,6124,7913,14713,14870,9720,10701,5236,16426,18169,6796,16938,5020,28774,10705,8695,30688,1824,8463,14203,10836,10534,4571,26122,9852,34720,18756
"ENSG00000197956.10",18635,59100,40968,120302,18516,2954,1615,23628,42283,347,20294,91679,42141,42208,41101,107790,103855,34638,10854,106189,3797,13054,14242,47933,14596,33517,160681,19226,233668,86076
"ENSG00000198788.9",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,17,3,0,0,1,0,10,0,0,1
"ENSG00000198959.12",23196,7893,6536,5927,7336,1092,1068,1211,1804,954,9720,4436,26092,1878,3658,10526,66072,1932,3058,1622,1677,1662,13167,2542,12963,1171,1196,6203,1972,3599
"ENSG00000204262.14",2623,5720,12588,9387,28732,1255,750,3228,5862,1019,13835,1978,8096,2010,10489,6457,117381,5506,942,3885,6710,8392,3249,848,37813,1272,842,1551,16321,5160
"ENSG00000204291.11",2405,6856,6688,4849,8534,3565,2519,2608,10510,1538,8520,2030,7047,1607,10061,4128,11674,747,12800,4036,1292,3752,15124,466,1802,1619,723,940,7945,5395
"ENSG00000204983.14",0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,1,0,0,0,0,40,1,0,0,1,0
"ENSG00000206384.10",2,37,12,9,552,6,17,31,1086,33,50,29,180,11,18,6,2,27,34,127,6,30,6,13,50,21,16,7,7,45
"ENSG00000231991.4",244,229,777,297,184,343,244,528,102,423,262,455,435,214,550,930,874,230,239,483,24,149,558,71,248,65,284,170,358,235
